_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
11,Ontario Research Fund - Research Infrastructure,11920,A Behavioral Gene Discovery Laboratory for Integrative Neuroscience,"Drug addiction is a major and costly health burden to Canadians. There is a need for renewed efforts to identify what happens in the nervous system that causes addiction, and to use this knowledge to develop therapies aimed at reversing and preventing addiction. Dr. Lehman’s research at the University of Western Ontario will identify the genes and proteins in the brain that relate to reward, motivation and addiction. The Ontario Research Fund infrastructure award will help provide equipment for a newly renovated laboratory space at the University of Western Ontario that will be the only one of its kind in Ontario.  Results from Dr. Lehman’s research has the potential for developing new treatments for addiction.",4.6,N/A,40800,99998,Small Infrastructure Fund - Round 006 - 2006 - February,2006-08-31T00:00:00,The University of Western Ontario,London,"$353,562","$883,903","Neuroscience, motivation, reward, drug abuse, addiction, behavior, sex, circadian rhythms, limbic system",Capital,"",Michael,"",Lehman,Advanced health technologies
12,Ontario Research Fund - Research Infrastructure,12407,From DNA Repair to Neural Circuits: Mechanisms of Cellular and Neurological Dysfunction,"Researchers at the University of Western Ontario will conduct brain studies with the aim of providing better care for people suffering from intractable epilepsy. Michael Poulter and Caroline Schild-Poulter, will lead the studies which concentrate on genetic and other biological repair mechanisms that prevent the death of nerve cells. Insight into this function could have application towards treating diseases that degrade the nervous system such as Parkinson’s disease, epilepsy, and a number of psychiatric disorders. Dr. Michael Poulter is particularly interested in determining the factors that lead to intractable epilepsy. More than 300,000 Canadians have epilepsy, 30 per cent of them living without viable treatments.",4.9,N/A,5000,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,The University of Western Ontario,London,"$211,226","$750,000","DNA repair, functional recovery, cell survival, imaging/electrophysiology, protein-protein interactions, ion channel",Capital,"",Michael,"",Poulter,Advanced health technologies
13,Ontario Research Fund - Research Infrastructure,9693,Intelligent Sensory Integrated Systems Laboratory,"The research objective is to investigate the design of intelligent sensory integrated microsystems as well as develop, experimentally charaterize, and demonstrate their prototypes. Intelligent sensory integrated systems comprise of artificial perception, cognition and action entirely on a single micro-scale physical substrate, and operate in a fully autonomous manner, without a need for a computer as we know it.",7.6,N/A,11600,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Toronto,Toronto,"$101,031","$252,576","Integrates circuits and systems, sensors, artificial perception, pattern recognition, learning and adaptation",Capital,"",Roman,"",Genov,Digital media and information and communications technologies
14,Ontario Research Fund - Research Infrastructure,9724,Facility for Analysis of Vertebrate Development,"This exciting program will address the fundamental question of how cell movements are coordinated during development to give rise to the complex adult body plan.The research will utilise the zebrafish as a model as it is recognized as an important model in understanding of human disease as knowledge of the physiology and genes of this species is directly applicable to humans. The project will entail an interesting combination of embryology, molecular genetics and cell biology and, uses the most-up-to-date methodology including time-lapse imaging to follow cell movement in embryos.",4.3,N/A,14900,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Toronto,Toronto,"$191,761","$479,403","morphogenesis, vertebrate, zebrafish, gene function, cell movements, gastrulation",Capital,"",Ashley,"",Bruce,Advanced health technologies
15,Ontario Research Fund - Research Infrastructure,9738,Activity-Induced Plasticity of Inhibitory Synapses,"The facility will be unique to Canada and will allow research of the electrical and visual analysis of inhibitory synaptic plasticity at the in vitro, in situ and in vivo levels. Synaptic plasticity is the cellular basis of learning and memory, essential processes that allow animals to adapt to their ever changing environments. Understanding of the inhibitory synaptic plasticity represents a fundamental aspect of neurophysiology and is essential for the treatment of neural activity disorders such as epilepsy.",4.9,N/A,14900,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Toronto,Toronto,"$152,000","$380,000","inhibitory synaptic transmission, synaptic plasticity, learning, memory, neurobiology, electrophysiology, cell culture, hippocampal brain slice",Capital,"",Melanie,"",Woodin,Advanced health technologies
16,Ontario Research Fund - Research Infrastructure,9740,Facility for the Multi-Level Analysis of the Neurobiology of Respiratory Motor Control during Sleep,"This project aims to enhance our understanding of the control of motor regulation during sleep. Understanding the biological processes that control respiratory muscle activity during sleep due to the prevalence of sleep-related breathing disorders, periodic limb movement disorder, restless legs syndrome, cataplexy/narcolepsy and parasomnias. This research may lead to development of effective treatments for such disorders.",4.9,N/A,41000,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Toronto,Toronto,"$180,320","$450,800","Sleep, Respiration, Neurophysiology, Neuropharmacology, Neurotransmitters, Receptors, Brainstem, Motoneurons, Sleep Apnea, Animal Models",Capital,"",John,"",Peever,Advanced health technologies
17,Ontario Research Fund - Research Infrastructure,9749,Radiopharmaceutical Discovery and Development Laboratory for Translational Cancer Research,The research to be carried out is driven by the need to discover molecular imaging tools and targeted radiotherapeutic agents that could improve the non-invasive detection of cancer as well as provide novel radiation treatments for cancer to improve the poor prognosis of patients with advanced disease.,7.4.2,N/A,40900,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Toronto,Toronto,"$168,143","$420,358","Radiopharmaceuticals, molecular imaging, targeted radiotherapy, nuclear medicine, breast cancer, leukemia, neuroblastoma, radiochemistry; translational cancer research, clinical trials",Capital,"",Raymond,M.,Reilly,Pharmaceutical research and manufacturing
18,Ontario Research Fund - Research Infrastructure,10522,A station for cell biological and physiological studies combining ultrafast confocal imaging with laser-trap manipulation and force measurements in a contained  and controlled environment,"The proposed research  will concentrate in two areas, which are natural extensions of the work Dr. Grinstein has performed to date.  1.  Determination of the ionic composition and membrane potential of endocytic and secretory organelles and 2. Definition of the molecular basis of phagosome formation and maturation.",4,N/A,42800,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,The Hospital for Sick Children,Toronto,"$544,183","$1,360,459","",Capital,"",Sergio,"",Grinstein,Advanced health technologies
19,Ontario Research Fund - Research Infrastructure,7970,Ensuring Performance of Geosynthetics Under Extreme Environmental Conditions,Geosynthetics are polymeric materials used in contact with soil and rock to solve geoengineering problems associated with a variety of transportation and environmental infrastructure (e.g. landfills). This internationally unique research is required to understand how geosynthetic materials behave in the long term (many decades to centuries) and under the extreme heat and cold weather conditions relevant to the Canadian climate.,3.8,N/A,10100,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,Queen's University,Kingston,"$205,209","$1,650,121","geosynthetics, geotechnical engineering, geoenvironmental engineering, earthquake mitigation, contaminant barriers, landfills, buried utilities, retaining walls, long-term behaviour, modelling, climate change",Capital,"",Kerry,Kerry,Rowe,Not Applicable
20,Ontario Research Fund - Research Infrastructure,7905,A Secure Mulitidisciplinary High Performance Computing Virtual Laboratory for Innovative Research.,"Provision of state-of-the-art equipment is vital and used in support of cutting edge and critically important research including; nuclear physics, astrophysics, medicine, microelectronics, materials science and nanotechnology. Infrastructure would potentially increase collaboration and sharing of computational resources on a regional and national basis.",7.1,N/A,5000,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,Queen's University,Kingston,"$3,990,849","$49,496,033","High-Performance Computing, Applied Parallel Computing, Research Infrastructure, Photonics, Signal Processing, Materials Science, Genomics, Psychology, Economics, Nuclear Physics",Capital,"",Douglas,"",Mewhort,Not Applicable
21,Ontario Research Fund - Research Infrastructure,202370,Sensorimotor Control Laboratory: An Integrative Neuroimaging Approach to Basic Mechanisms and Implications for Stroke Recovery,"The long term objective is to improve motor function following brain injury from stroke by building a foundation, based on fundamental understanding of the neural control of movement, towards the development and implementation of evidence-based interventions.",4,N/A,41000,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Waterloo,Waterloo,"$130,130","$378,455","motor control, neurophysiology, stroke, recovery, functional imaging",Capital,"",W.,Richard,Staines,Advanced health technologies
22,Ontario Research Fund - Research Infrastructure,202500,Sensor and Surveillance Technologies for Pavement and Construction Research,"The proposed research involves two distinct but interrelated areas: pavement surveillance and construction site modeling.  Pavement surveillance involves capturing images of road section surfaces, profile measurements, and noise measurements with an instrumented surveillance vehicle.  Construction site modeling via field research is required for conflict avoidance/safety, and quick decision response on roads and pavements, leading to higher efficiencies and cost-effectiveness in the construction industry.",2.3,N/A,10100,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,University of Waterloo,Waterloo,"$250,000","$625,000","Infrastructure technologies, construction, management",Capital,"",Susan,"",Tighe,Not Applicable
23,Ontario Research Fund - Research Infrastructure,10762,The Social Construction of Autobiographical Memory,"Successful adolescent identity formation is associated with well-being, enhanced relationships with family and peers, and a productive adult life.  A project lead by Kate McLean, at the University of Toronto at Mississauga, will analyze the connections between people's memories and sense of self by listening to their stories, usually through conversation-style interviews.  Dr. McLean and her research team will code the stories to identify trends such as whether the memories are positive or negative, or whether people define themselves through relationships or achievements.  An ORF Research Infrastructure award will fund laboratory renovations and the purchase of equipment to record and evaluate the data collected.  Dr. McLean's research will be of benefit to developmental, cognitive and social psychologists, and will help shape health policy, particularly in encouraging healthy adolescent development.",8.8,N/A,15100,99998,Small Infrastructure Fund - Round 005 - 2005 - October,2006-06-26T00:00:00,University of Toronto,Toronto,"$20,906","$52,265",Lab renovations for studies on autobiographical memory.,Capital,"",Kate,"",McLean,Not Applicable
24,Ontario Research Fund - Research Infrastructure,10780,Household-level Urban Socio-Ecology (HOUSE) Laboratory,"Maintaining healthy urban ecosystems is a critical challenge for Canada due to current land use and population trends. Under the direction of Tenley Conway at the University of Toronto at Mississauga, the Household-level Urban Socio-Ecology (HOUSE) laboratory will collect and analyze integrated socio-ecological data from Mississauga households. The ORF Research Infrastructure award will help purchase field research equipment.  The research will be used by local and provincial government agencies to promote healthy ecosystems, and could serve to protect urban ecosystems in Ontario communities.",3.10,N/A,21600,99998,Small Infrastructure Fund - Round 005 - 2005 - October,2006-06-26T00:00:00,University of Toronto,Toronto,"$67,619","$169,047","Land Cover, Urban Ecology, Household Behaviour, Geographic Information Systems (GIS), Agent-Based Modelling, Survey Research, Remote Sensing, Social and Ecological Interactions, Healthy Cities, Spatial Analysis, rural",Capital,"",Tenley,"",Conway,Not Applicable
25,Ontario Research Fund - Research Infrastructure,12499,A protein interaction network of the yeast MRP-subfamily of ABC transporters,"Treatments and cures for numerous diseases may be locked in interactions among proteins being studied by biochemists, geneticists and microbiologists at the University of Toronto. Igor Stagljar, the developer of a unique process for exploring protein interactions, is leading the studies using robotic and bioinformatics equipment. The proteins in question are located in the membranes (the outer layers) of cells. These particular proteins play an important role in removing different toxins from inside the cell. Cells that are unable to remove such toxins are implicated as a cause of disease, and an understanding of this function could lead to treatments.",4.9,N/A,15200,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Toronto,Toronto,"$176,627","$442,284","proteomics, functional genomics, protein-protein interactions, high-throughput analysis, systems biology",Capital,"",Igor,"",Stagljar,Advanced health technologies
26,Ontario Research Fund - Research Infrastructure,12511,A Supercomputer for Numerical Simulations of Planetary Dynamos,"Physicists at the University of Toronto led by Dr. Sabine Stanley will use a new supercomputer system to model the nature of planet interiors. The system, which consists of a 32-processor shared memory computer and an external storage disk, will allow modeling of the magnetic fields of planets, providing valuable insight into planetary evolution. Researchers will use the supercomputer to simulate the processes (known as the dynamo) that generate and maintain a planet’s magnetic field. Understanding how and why a magnetic field reverses is a central theme of the work. Magnetic fields help protect planetary surfaces from cosmic rays. Understanding the way these fields work could have implications for improving the safety of air travel.",9.5,N/A,13700,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Toronto,Toronto,"$100,000","$319,049","supercomputer, numerical modelling, planetary magnetic fields, dynamos, geophysical fluid dynamics, planetary physics, geophysics",Capital,"",Sabine,"",Stanley,Not Applicable
27,Ontario Research Fund - Research Infrastructure,12520,Laboratory of Metabolic Systems Engineering,"Under the leadership of Radhakrishnan Mahadevan, these studies are aimed at developing methods to manufacture novel biologically based products. The research may also reveal new methods of removing poisonous contaminants from the environment. Some of the most attractive possibilities of the research lie in potential for the environmentally sustainable manufacture of ethanol and industrial solvents as butanol, materials that come from non-renewable fossil fuels. The production of such goods from renewable domestic sources such as wood fibre could provide economic benefit to Ontario’s resource and manufacturing industries.",7.4,N/A,10900,99998,Small Infrastructure Fund - Round 007 - 2006 - June,2006-12-21T00:00:00,University of Toronto,Toronto,"$102,150","$255,392","metabolism, bioenergy, biofuels, nutrition, bioremediation, pharmaceuticals, bioprocess, biomedicine, evolutionary engineering, climate change",Capital,"",Mahadevan,"",Radhakrishnan,Advanced health technologies
28,Ontario Research Fund - Research Infrastructure,8793,"Integrated Tools for Biotechnology: Genomic, Proteomic, Metabolomic, Spectroscopic, and Computational Approaches","Upgraded infrastructure would support three strong components of the research effort in biotechnology including, Plant Biotechnology, Biotransformation/Green Chemistry and Cool Climate Oenology and Viticulture.",7.4.2,N/A,14800,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,Brock University,St.Catharines,"$626,086","$5,372,094","nuclear magnetic resonance, green chemistry, biocatalysis, time resolved fluorescence, electron paramagnetic resonance, microarrays, MALDI-TOF, FTIR, computation, renovation, climate change",Capital,"",Douglas,"",Bruce,Pharmaceutical research and manufacturing
29,Ontario Research Fund - Research Infrastructure,9369,Psychological Trait Evolution,"This project has strong promise to generate unique insights into the distribution and abundance of species, their coevolution with predators, and the structure of ecological communities.",3.10,N/A,14100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,Brock University,St.Catharines,"$59,990","$149,975","integrative trait analysis, adaptation, evolutionary constraints, wetland ecology, physiological ecology",Capital,"",Jean,"",Richardson,Advanced health technologies
30,Ontario Research Fund - Research Infrastructure,9914,Social Cognitive Neuroscience of Attitudes,"The requested infrastructure will provide the first dedicated social cognitive neuroscience laboratory in Canada and facilitate research on the affective and cognitive processes of evaluation, particularly within the context of understanding prejudice and intergroup relations.",4.9,N/A,22100,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$129,929","$324,827","Social Cognitive Neuroscience, Attitudes, Evaluation, Social Cognition, Cognitive Neuroscience, Automaticity, Control, Individual Differences",Capital,"",Philip,"",Zelazo,Advanced health technologies
31,Ontario Research Fund - Research Infrastructure,9978,Signal transduction and networking studies in plant-pathogen interaction,The researcher will investigate the signalling pathways that induce plant resistance against diseases.  The research will have a significant impact on breeding disease resistant plants and developing new generations of pesticides.,1,N/A,14300,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$199,950","$499,982","Plant-pathogen interaction, Molecular plant pathology, Signal transduction, Environmental stress, Cross-talk of phytohormones",Capital,"",Keiko,"",Yoshioka,Not Applicable
32,Ontario Research Fund - Research Infrastructure,9984,Creation of a Laboratory to study Causes and Consequences of Genomic Instability,"The research program seeks to identify and study factors that are components of the cellular response to DNA damage.  This research program is novel and innovative as it impacts the disciplines of pharmacology, toxicology, molecular genetics, immunology, developmental biology and oncology.",4,N/A,14700,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$199,031","$497,828","genomic instability, DNA damage response, cancer, embryonic development, knockout mice, chromosomal karyotyping, indirect immunofluorescence, centrosome, telomere",Capital,"",Peter,"",McPherson,Advanced health technologies
33,Ontario Research Fund - Research Infrastructure,10087,Critical Accessories for a mass Spectrometry/Proteomics Facility at the Centre for Research in Neurodegenerative Diseases,The objective of the research is to address the need for effective diagnostics and therapies to overcome Neurodegenerative Diseases by identifying novel therapeutic targets and diagnostic markers. The research is believed to have the potential uncover new insights to a series of debilitating disorders.,4.1,N/A,14800,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$41,089","$102,723","Diseases of Aging, Neurodegenerative Diseases, Mass Spectrometry, Protein Analytic, Therapeutic Targets, Diagnostic Markers",Capital,"",Gerold,"",Schmitt-Ulms,Advanced health technologies
34,Ontario Research Fund - Research Infrastructure,10101,Infrastructure for a Distributed Microsystems Laboratory,"The research program aims at the development of distributed microsystems for optical, fluidic and acoustic applications.  It aims at the development of micro sensors, micro actuators, and control systems for optical, fluidic and acoustical distributed microsystem applications.",7.7,N/A,11200,99998,Small Infrastructure Fund - Round 002 - 2004 - October,2005-02-24T00:00:00,University of Toronto,Toronto,"$107,361","$268,402","Microsystems, Micro Electromechanical Systems (MEMS), Distributed Systems, Adaptive Optics, Active Skin, Drag Reduction, Acoustics, Noise Cancellation, Nonlinear Control",Capital,"",Amara,"",Foued Ben,Digital media and information and communications technologies
35,Ontario Research Fund - Research Infrastructure,8145,Accelerated Discovery of Advanced Catalysts and Catalytic Processes,"The proposed infrastructure will build powerful synergies between the University of Ottawa's internationally recognized Centre for Catalysis Research and Innovation (CCRI), and the pioneering innovations of Symyx Technologies, the world leader in high throughput (HT) catalyst discovery technologies.",3.1,N/A,13000,99998,Large Infrastructure Fund - Round 001 - 2004,2004-12-16T00:00:00,University of Ottawa,Ottawa,"$2,400,579","$19,306,758","Homogeneous Catalysis, Heterogeneous Catalysis, Asymmetric Catalysis, Environmental Catalysis, Photocatalysis, High Throughput Catalyst Synthesis, High Throughput Catalyst Screening, Nanostructured Catalytic Materials",Capital,"",Abdelhamid,"",Sayari,Not Applicable
36,Ontario Research Fund - Research Infrastructure,9048,Optimal Shape Design Laboratory,"This facility will be the first Canadian research centre concentrating on optimal shape design problems. It will be dedicated to real-world industrial problems using computational, numerical and mathematical analyses. It will deal with fuel cell optimal shape design and may further the research into optimal shape design of artificial hearts, and the shape analysis of crystal growth.",5.7,N/A,12100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Ottawa,Ottawa,"$53,065","$159,094","Optimal shape design, PDEs, Numerical Analysis, fluid dynamics, high performance computation, hydrogen fuel cell",Capital,"",Arian,"",Novruzi,Not Applicable
37,Ontario Research Fund - Research Infrastructure,9583,Infrastructure for Advanced Research in Portable Non-Invasive Biomedical Monitoring Technologies,The infrastructure will be utilized for advanced research in innovative engineering aproaches for design and data analysis for non-invasive biomedical monitoring technologies.,4.3,N/A,11000,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Ottawa,Ottawa,"$47,428","$130,022","Biomedical Engineering, Medical Imaging, Image processing, Non-invasive monitoring technology",Capital,"",Andy,"",Adler,Advanced health technologies
38,Ontario Research Fund - Research Infrastructure,9611,Canadian Integrative Facility for Ecoinformatics Research (CIFER),The research objective is to identify leading causes of extinction among species in agricultural landscapes in Ontario and to learn how to minimize human-induced degradation of ecosystem function in Canada.,3.7,N/A,14100,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Ottawa,Ottawa,"$100,000","$353,544","land use change, climate change, field ecology, ecoinformatics, endangered species, remote sensing, rural, climate change",Capital,"",Jeremy,"",Kerr,Not Applicable
39,Ontario Research Fund - Research Infrastructure,9675,Improving Emergency Department Care Using Information Technology,The infrastructure will be used to establish/improve information technology for the Emergency Department. It will be one of the first emergency department electronic databases to fully intergrate nursing and physician clinical documentation and computer physician order entry in a standardized manner specifically designed for emergency department research.,4.8,N/A,42500,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Ottawa,Ottawa,"$100,426","$403,668","emergency medicine, clinical decision rules, cost effective medicine,",Capital,"",Jeffrey,"",Perry,Advanced health technologies
40,Ontario Research Fund - Research Infrastructure,9676,Laboratory for Qualitative Research Methods in Environment and Health Geography,"The laboratory will support original applications of qualitative methods to applied research on environment and health, science-policy, evidence-based health care decision making, knowledge transfer and dissemination strategies, issues of risk perception and risk communication, and social research at local, national and international scales.",3.10,N/A,21600,99998,Small Infrastructure Fund - Round 001 - 2004 - June,2005-02-24T00:00:00,University of Ottawa,Ottawa,"$66,958","$167,395","Qualitative Methods, Textual Analysis, NVivo, Multidisciplinary, Knowledge Transfer, Environment and Health, Health Geography, Science-Policy, Risk, Social Construction",Capital,"",Michelle,S.,Driedger,Advanced health technologies
41,Ontario Research Fund - Research Infrastructure,10147,Infant Hearing Aid Technology Laboratory,"The Infant Hearing Aid Technology Laboratory will test babies and toddlers who have permanent hearing losses to determine the best hearing aid technologies and the best ways to prescribe and evaluate them using scientific, evidence-based approaches.",4,N/A,42300,99998,Small Infrastructure Fund - Round 003 - 2005 - February,2005-07-22T00:00:00,The University of Western Ontario,London,"$70,009","$175,069","Hearing Loss, Hearing Aids, Infant, Child, Speech Acoustics, Hearing Tests, Speech Perception, Sound Spectography, Audiometry, Evoked Potentials",Capital,"",Susan,"",Scollie,Advanced health technologies
